,Disease Name,Sentence,Spacy Tokens Target,BERT Tokens Target
27,,Fundamentals of ergonomics in theory and practice,[0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0]
28,chronic kidney disease,The impact of chronic kidney disease on global health.,[0 0 0 1 1 1 0 0 0 0],[0 0 0 1 1 1 0 0 0 0]
29,,The state of the prion,[0 0 0 0 0],[0 0 0 0 0 0]
30,,Design and evaluation of a neutral posture chair,[0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0]
31,,Folliculitis: recognition and management,[0 0 0 0 0],[0 0 0 0 0 0 0 0 0]
32,headache,Prevalence and persistence of stomach ache and headache among children. Follow‐up of a cohort of Norwegian children from 4 to 10 years of age,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
33,ganglion cyst,Intraneural ganglion cyst: a case report and a review of the literature,[0 1 1 0 0 0 0 0 0 0 0 0 0],[0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0]
34,,"Inflammatory bowel disease: immunodiagnostics, immunotherapeutics, and ecotherapeutics",[0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
35,poisoning blood,Pesticide poisoning of farm workers–implications of blood test results from Vietnam,[0 1 0 0 0 0 0 0 1 0 0 0 0],[0 0 1 0 0 0 0 0 0 1 0 0 0 0]
36,,"Formulation, stability, and delivery of live attenuated vaccines for human use",[0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
37,,Sedatives and tranquilizers,[0 0 0],[0 0 0 0 0 0 0 0 0]
38,,Fibromuscular dysplasia,[0 0],[0 0 0 0 0 0 0 0]
39,,Epithelial migration on the tympanic membrane,[0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
40,abdominal aortic aneurysm,Risk factors associated with abdominal aortic aneurysm: a population-based study with historical and current data,[0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0]
41,acute cholecystitis,Diagnostic criteria and severity assessment of acute cholecystitis: Tokyo Guidelines,[0 0 0 0 0 0 1 1 0 0 0],[0 0 0 0 0 0 1 1 1 1 1 1 0 0 0]
42,,Invasive Paget disease of the nipple: a brief review of the literature and report of the first case with axillary nodal metastases,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
43,hiatus hernia,Massive hiatus hernia: evaluation and surgical management,[0 1 1 0 0 0 0 0],[0 1 1 1 0 0 0 0 0]
44,supraventricular tachycardia,Evaluation and initial treatment of supraventricular tachycardia,[0 0 0 0 0 1 1],[0 0 0 0 0 1 1 1 1 1 1 1 1 1 1]
45,sore throat,Open randomised trial of prescribing strategies in managing sore throat,[0 0 0 0 0 0 0 0 1 1],[0 0 0 0 0 0 0 0 0 0 0 0 1 1]
46,mouth ulcers,Mouth ulcers and other causes of orofacial soreness and pain,[1 1 0 0 0 0 0 0 0 0],[1 1 1 1 0 0 0 0 0 0 0 0 0 0 0]
47,testicular cancer,Testicular cancer: a reflection on 50 years of discovery,[1 1 0 0 0 0 0 0 0 0],[1 1 1 0 0 0 0 0 0 0 0]
48,,Morbidity and aging in HIV-infected persons: the Swiss HIV cohort study,[0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
49,,The health care proxy for mental illness: Can it work and should we want it to?,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
50,gallbladder cancer cancer,Gallbladder cancer (GBC): 10‐year experience at memorial Sloan‐Kettering cancer centre (MSKCC),[1 1 0 0 0 0 0 0 0 0 1 0 0 0 0],[1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]
51,,Postmenopausal hormone therapy and mortality,[0 0 0 0 0],[0 0 0 0 0 0 0 0 0]
52,,Perioperative cardiac damage in vascular surgery patients,[0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0]
53,,Pathology illustrated E-book,[0 0 0 0 0],[0 0 0 0 0]
54,sinusitis,Sinusitis and its management,[1 0 0 0],[1 1 1 0 0 0]
55,,Obesity and the environment: where do we go from here?,[0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0]
56,,Cancer of the Mouth,[0 0 0 0],[0 0 0 0]
57,,Biochemistry of the enkephalins and enkephalin-containing peptides,[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
58,,Complications of hip arthroscopy,[0 0 0 0],[0 0 0 0 0 0 0 0]
59,bronchitis,Significance of respiratory symptoms and the diagnosis of chronic bronchitis in a working population,[0 0 0 0 0 0 0 0 0 1 0 0 0 0],[0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0]
60,,"Very low calorie diets: their efficacy, safety, and future",[0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
61,,Pier and abutment scour: integrated approach,[0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0]
62,,Fat embolism: A problem of increasing importance to the orthopedist and the internist,[0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
63,,The collagens of articular cartilage,[0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0]
64,,Hodgkin lymphoma–a survey of children and adolescents treated in Sweden 1985–2009,[0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
65,,Onychomycosis: a review,[0 0 0 0],[0 0 0 0 0 0 0 0]
66,,Sox2-positive dermal papilla cells specify hair follicle type in mammalian epidermis,[0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
67,schizophrenia,The schizophrenia prodrome: treatment and high-risk perspectives,[0 1 0 0 0 0 0 0 0 0],[0 1 0 0 0 0 0 0 0 0 0]
68,,Cubital tunnel syndrome,[0 0 0],[0 0 0 0]
69,acute myeloid leukaemia,Prognostic factors for acute myeloid leukaemia in adults–biological significance and clinical use,[0 0 0 1 1 1 0 0 0 0 0 0 0 0],[0 0 0 0 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0]
70,,Vagal pathways for microbiome-brain-gut axis communication,[0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0]
71,,Actigraphic Measurements of Sleep in Rheumatoid Arthr Comparison of Patients with Low Back Pain and Healthy Controls,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
72,,A Lecture on the Treatment of Catarrh and Bronchitis,[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0]
73,,How to use the erythrocyte sedimentation rate in paediatrics,[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
74,dental abscess,The microbiology of the acute dental abscess,[0 0 0 0 0 1 1],[0 0 0 0 0 0 1 1 1 1]
75,,Peripheral vascular disease: who gets it and why? A histomorphological analysis of 261 arterial segments from 58 cases,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
76,,Bereavement and complicated grief,[0 0 0 0],[0 0 0 0 0 0 0]
77,,Sarcomas in adolescents and young adults,[0 0 0 0 0 0],[0 0 0 0 0 0 0 0]
78,bile duct cancer,Actual long-term outcome of extrahepatic bile duct cancer after surgical resection,[0 0 0 0 0 0 0 1 1 1 0 0 0],[0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0]
79,,Improving precision and reducing bias in biological surveys: estimating false‐negative error rates,[0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
80,,Recent advances in the workup and management of Raynaud phenomenon,[0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0]
81,,The Glasgow Coma Scale at 40 years: standing the test of time,[0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0]
82,attention deficit hyperactivity disorder,"The genetics of attention deficit/hyperactivity disorder in adults, a review",[0 0 0 1 1 0 1 1 0 0 0 0 0],[0 0 0 1 1 0 1 1 1 1 0 0 0 0 0]
83,cold sore cold,"Cold sore, cold soul? An examination of orolabial herpes in film",[1 1 0 1 0 0 0 0 0 0 0 0 0],[1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
84,arterial thrombosis,Venous and arterial thrombosis: a continuous spectrum of the same disease?,[0 0 1 1 0 0 0 0 0 0 0 0 0],[0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0]
85,dementia,Consensus guidelines for the clinical and pathologic diagnosis of dementia with Lewy bodies (DLB) Report of the consortium on DLB international workshop,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
86,ulcer stomach,Gastric ulcer and stomach aging: pathophysiology and clinical implications,[0 1 0 1 0 0 0 0 0 0],[0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0]
87,,Neuroblastoma screening at one year of age,[0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
88,scoliosis,Long-term follow-up of patients with idiopathic scoliosis not treated surgically,[0 0 0 0 0 0 0 0 0 0 1 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0]
89,deafblindness,The impact of congenital deafblindness on the struggle to symbolism,[0 0 0 0 1 0 0 0 0 0],[0 0 0 0 1 1 1 1 0 0 0 0 0]
90,pelvic pelvic organ prolapse,The efficacy of pelvic floor muscle training for pelvic organ prolapse: a systematic review and meta-analysis,[0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0],[0 0 0 1 1 1 0 0 0 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0]
91,mouth cancer,The epidemiology of mouth cancer: a review of global incidence,[0 0 0 1 1 0 0 0 0 0 0],[0 0 0 0 0 0 1 1 0 0 0 0 0 0]
92,,Elevated serum transferrin saturation and mortality,[0 0 0 0 0 0],[0 0 0 0 0 0 0 0]
93,,Biofeedback: an overview in the context of heart-brain medicine,[0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
94,dystonia,"Structural, functional and molecular imaging of the brain in primary focal dystonia—a review",[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0]
95,,Development and arealization of the cerebral cortex,[0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0]
96,coronavirus,Coronavirus HKU1 and other coronavirus infections in Hong Kong,[0 0 0 0 1 0 0 0 0],[0 0 0 0 0 0 0 1 1 0 0 0 0]
97,hypoglycaemia,"The association between symptomatic, severe hypoglycaemia and mortality in type 2 diabetes: retrospective epidemiological analysis of the ACCORD study",[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
98,rare tumours rare,Rare tumours--are they really rare in the Polish children population?,[1 1 0 0 0 0 1 0 0 0 0 0 0],[1 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0]
99,anorexia nervosa,Epidemiology and course of anorexia nervosa in the community,[0 0 0 0 1 1 0 0 0],[0 0 0 0 0 0 0 1 1 1 1 1 1 1 0 0 0]
100,,Meta-analysis: the value of clinical assessment in the diagnosis of deep venous thrombosis,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
101,hepatitis a,Hepatitis B surface antigen (HBsAg) levels in the natural history of hepatitis B virus (HBV)-infection: a European perspective,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0]
102,sleep obstructive sleep apnoea,"Sleep· 1: Obstructive sleep apnoea/hypopnoea syndrome: definitions, epidemiology, and natural history",[1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
103,,The metabolic syndrome,[0 0 0],[0 0 0]
104,,Lessons from the testosterone trials,[0 0 0 0 0],[0 0 0 0 0]
105,,Transient inflammation-induced ongoing pain is driven by TRPV1 sensitive afferents,[0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
106,,Electrolyte selection for supercapacitive devices: a critical review,[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
107,,Labyrinthitis ossificans: histopathologic consideration for cochlear implantation,[0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
108,,"Update on pathophysiology, treatment, and complications of carcinoid syndrome",[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
109,polycystic ovary syndrome,Polycystic ovary syndrome,[1 1 1],[1 1 1 1 1 1]
110,hyperhidrosis,Primary hyperhidrosis increases the risk of cutaneous infection: a case-control study of 387 patients,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
111,neuroblastoma neuroblastoma,Outcome of children with neuroblastoma after progression or relapse. A retrospective study of the Italian neuroblastoma registry,[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0],[0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0]
112,,Gastroesophageal reflux disease: a review,[0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0]
113,bronchitis,Symptoms of chronic bronchitis and the risk of coronary disease,[0 0 0 1 0 0 0 0 0 0],[0 0 0 1 1 1 0 0 0 0 0 0 0]
114,functional neurological disorder,You've made the diagnosis of functional neurological disorder: now what?,[0 0 0 0 0 0 1 1 1 0 0 0 0],[0 0 0 0 0 0 0 1 1 1 0 0 0 0]
115,dementia,The worldwide costs of dementia 2015 and comparisons with 2010,[0 0 0 0 1 0 0 0 0 0],[0 0 0 0 1 0 0 0 0 0]
116,scabies scabies,New insights into disease pathogenesis in crusted (Norwegian) scabies: the skin immune response in crusted scabies,[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1],[0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 1 1]
117,coeliac disease,The Oslo definitions for coeliac disease and related terms,[0 0 0 0 1 1 0 0 0],[0 0 0 0 1 1 1 1 0 0 0]
118,lichen planus,Lichen planus,[1 1],[1 1 1 1]
119,endometriosis,ESHRE guideline for the diagnosis and treatment of endometriosis,[0 0 0 0 0 0 0 0 1],[0 0 0 0 0 0 0 0 0 0 1 1 1 1]
120,,"Antiseptic technology: access, affordability, and acceptance.",[0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0]
121,,Neuropathology of Alzheimer's disease: what is new since A. Alzheimer?,[0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
122,ovarian cancer,Ovarian cancer in the world: epidemiology and risk factors,[1 1 0 0 0 0 0 0 0 0],[1 1 1 1 0 0 0 0 0 0 0 0 0 0 0]
123,,Diagnosis of megaloblastic anemia,[0 0 0 0],[0 0 0 0 0 0 0 0]
124,,Antibiotic rashes in children: a survey in a private practice setting,[0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
125,fever in children,Typhoid fever in children aged less than 5 years,[0 1 1 1 0 0 0 0 0],[0 0 0 1 1 1 0 0 0 0 0]
126,,The molecular classification of the clinical manifestations of Crohn's disease,[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
127,prostate cancer,Digital rectal examination for prostate cancer screening in primary care: a systematic review and meta-analysis,[0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0]
128,,Paget disease of the nipple: a multifocal manifestation of higher‐risk disease,[0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
129,,Waste materials for carbon capture and storage by mineralisation (CCSM)–A UK perspective,[0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
130,,Prognostic significance of silent ischemia,[0 0 0 0 0],[0 0 0 0 0 0 0 0 0]
131,,Supported decision-making: A viable alternative to guardianship,[0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
132,impetigo,Impetigo: diagnosis and treatment,[1 0 0 0 0],[1 1 1 0 0 0 0]
133,,Surgical treatments for men with benign prostatic enlargement: cost effectiveness study,[0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
134,ovarian cysts,Relationship between ovarian cysts and infertility: what surgery and when?,[0 0 1 1 0 0 0 0 0 0 0 0],[0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0]
135,menopause,The normal menopause transition: an overview,[0 0 1 0 0 0 0],[0 0 1 1 1 0 0 0 0]
136,,Phyllodes tumours,[0 0],[0 0 0 0 0 0 0]
137,chest pain,Chest pain,[1 1],[1 1]
138,erectile dysfunction erectile dysfunction,Epidemiology of erectile dysfunction in four countries: cross-national study of the prevalence and correlates of erectile dysfunction,[0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1],[0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1]
139,bowel cancer,Large bowel cancer: surgical pathology and its relationship to survival,[0 1 1 0 0 0 0 0 0 0 0],[0 1 1 1 0 0 0 0 0 0 0 0]
140,fungal nail infection,Fungal nail infection: diagnosis and management,[1 1 1 0 0 0 0],[1 1 1 0 0 0 0]
141,migraine,Contemporary concepts of migraine pathogenesis,[0 0 0 1 0],[0 0 0 1 1 0 0]
142,,Smartphone fundus photography,[0 0 0],[0 0 0 0]
143,chronic kidney disease,Prevalence of chronic kidney disease in the United States,[0 0 1 1 1 0 0 0 0],[0 0 1 1 1 0 0 0 0]
144,,Head lice,[0 0],[0 0 0]
145,fever fever in children,Fever and fever management in children: A literature review,[1 0 1 0 1 1 0 0 0 0],[1 0 1 0 1 1 0 0 0 0]
146,leg cramps,The cause of leg cramps and knee pains: an hypothesis and effective treatment,[0 0 0 1 1 0 0 0 0 0 0 0 0 0],[0 0 0 1 1 1 0 0 0 0 0 0 0 0 0]
147,,Natural history of gastro‐oesophageal reflux disease diagnosed in general practice,[0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
148,cystic fibrosis,Guidelines for diagnosis of cystic fibrosis in newborns through older adults: Cystic Fibrosis Foundation consensus report,[0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
149,chilblains,Chilblains in Southern California: two case reports and a review of the literature,[1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
150,dry mouth,"Prevalence of perceived symptoms of dry mouth in an adult Swedish population‐relation to age, sex and pharmacotherapy",[0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
151,,Cryptographically generated addresses (CGA),[0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0]
152,,The history and future of treatment of hypothyroidism,[0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0]
153,,Faecal incontinence,[0 0],[0 0 0 0 0 0]
154,head and neck cancer,Focus on head and neck cancer,[0 0 1 1 1 1],[0 0 1 1 1 1]
155,neuroendocrine tumours,Chemotherapy and biotherapy in the treatment of neuroendocrine tumours,[0 0 0 0 0 0 0 1 1],[0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1]
156,,Demineralization and remineralization evaluation techniques,[0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
157,anal cancer,"Anal cancer: ESMO Clinical Practice Guidelines for diagnosis, treatment and follow-up☆",[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
158,,Constituents of chyme responsible for postprandial intestinal hyperemia,[0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
159,,"Dengue and dengue hemorrhagic fever among adults: clinical outcomes related to viremia, serotypes, and antibody response",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
160,constipation,Chronic constipation: A review of literature,[0 1 0 0 0 0 0],[0 1 1 1 1 0 0 0 0 0]
161,atrial fibrillation,A randomized comparison of external and internal cardioversion of chronic atrial fibrillation.,[0 0 0 0 0 0 0 0 0 0 1 1 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0]
162,,Molecular mechanisms of development of the gastrointestinal tract,[0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
163,motor neurone disease,The effects of motor neurone disease on language: further evidence,[0 0 0 1 1 1 0 0 0 0 0],[0 0 0 1 1 1 1 1 0 0 0 0 0]
164,psoriasis,"Pathophysiology, clinical presentation, and treatment of psoriasis: a review",[0 0 0 0 0 0 0 0 1 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0]
165,stomach cancer,Precancerous gastric lesions in a population at high risk of stomach cancer,[0 0 0 0 0 0 0 0 0 0 1 1],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1]
166,,Vasodilator therapy,[0 0],[0 0 0 0 0 0]
167,,The androgen receptor: an overview,[0 0 0 0 0 0],[0 0 0 0 0 0 0]
168,,Detection of early atherosclerotic lesions by duplex scanning of the carotid artery,[0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
